ID,mox,mox_FDR,moxYG,moxYG_FDR,logCPM
YBL100W-B,-0.433367791,0.220596721,-0.735687722,0.019357825,3.28794593
YBL100W-C,0.116491979,0.980398563,0.304036153,0.828826687,-2.044815098
YBL101C,0.257234696,0.54135159,0.723434191,0.029187822,3.760241112
YBL102W,0.777331906,0.033800845,0.533286036,0.168289228,5.747266872
YBL103C,0.728745751,0.05114029,0.1755555,0.739948405,2.874326615
YBL104C,0.103877824,0.872783092,-0.43982939,0.308665293,2.673667341
YBL105C,0.114770051,0.836060373,-0.165861313,0.740444583,3.750013619
YBL106C,-1.082975865,0.002295761,-0.196583785,0.713230507,4.347045332
YBL107C,-0.348956805,0.404655277,-0.842255145,0.014887999,3.462937058
YBL107W-A,0.040094646,1,0.942097913,0.600514462,-3.436487826
YBL108C-A,-0.482395881,0.913668606,-0.045104347,1,-3.945759265
YBL108W,0.232368684,1,-0.250000555,1,-3.743153747
YBL109W,-0.845414798,0.093728916,0.005747919,1,0.169479956
YBL111C,-0.511865824,0.307883034,-0.325565268,0.565456949,2.81322466
YBL112C,-0.002335057,1,0.445108893,0.478110522,0.226515074
YBL113C,-0.19821933,0.667623561,0.216187878,0.655257506,3.936173923
YBL113W-A,0,1,0,1,-4.776081025
YBR001C,-0.235929987,0.611696987,-0.066814986,0.937847998,3.818661918
YBR002C,0.781053175,0.05265714,-0.083402804,0.926746749,3.65486243
YBR003W,0.569926087,0.144860553,1.006961185,0.003256781,4.458334914
YBR004C,0.760152573,0.028578381,0.73095921,0.031654734,6.376756505
YBR005W,-0.371847342,0.444132384,0.153856788,0.815227657,5.028627401
YBR006W,-0.645836791,0.132097075,0.536111693,0.220093587,5.540267996
YBR007C,-0.219851345,0.663919247,-0.641324073,0.106423015,2.67560194
YBR008C,-0.635389089,0.118388508,0.110982471,0.872942662,4.935327401
YBR009C,0.683375622,0.168852086,-0.189192791,0.785786031,5.835041351
